label,subject,category
half-true,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",politics
false,There are more oil rigs in operation in the United States than the rest of the world combined.,politics
half-true,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",politics
half-true,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",politics
false,The Obama administration shut down the Amber Alert program because of the government shutdown.,politics
half-true,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",politics
true,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",politics
false,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",politics
false,Not one Republican has the guts to recognize that climate change is real.,politics
half-true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",politics
false,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",politics
false,Says Obama health reform law denies millions access to affordable insurance.,politics
false,Close to 30% of our federal prison population consists of illegal immigrants.,politics
false,Says Rick Scott called education not a core function of the state.,politics
false,"The Family Research Council, according to some government agencies, is a terrorist group.",politics
true,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",politics
true,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,politics
false,Obamacare is the biggest tax increase in American history.,politics
true,You ... said that Barack Obama was not ready to be commander in chief.,politics
true,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,politics
true,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",politics
false,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,politics
half-true,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",politics
half-true,On how money from a possible lease of the Ohio Turnpike would be used,politics
half-true,"The president has had 1,540 of his nominations confirmed, only four defeated.",politics
true,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,politics
true,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",politics
true,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",politics
half-true,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,politics
half-true,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",politics
half-true,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",politics
half-true,The United States imprisons more than any nation in the world.,politics
true,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,politics
false,Providences port is 200 miles closer to Europe than any other Eastern port.,politics
true,Says you need a photo ID to purchase Sudafed in Texas.,politics
half-true,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,politics
half-true,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,politics
true,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",politics
false,We now have driven (health care) costs down to the lowest theyve been in 50 years.,politics
half-true,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",politics
half-true,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",politics
false,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,politics
half-true,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,politics
true,Warren (Buffett) still does support me.,politics
true,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,politics
false,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,politics
false,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,politics
true,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",politics
false,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",politics
half-true,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",politics
half-true,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,politics
half-true,On legalizing illegal immigrants.,politics
true,Nearly half of all pregnancies in the U.S. are unintended.,politics
half-true,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""",politics
half-true,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",politics
half-true,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",politics
false,The top 1 percent pay over half of the entire revenue for this country.,politics
half-true,Chris Christie has not increased the taxes on anyone.,politics
false,Says he never said he would keep education funding the same.,politics
true,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",politics
half-true,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",politics
false,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.,politics
half-true,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.",politics
false,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",politics
false,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",politics
true,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.,politics
false,On using the Strategic Petroleum Reserve.,politics
false,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,politics
half-true,"Says Scott Walker wants to ban common forms of birth control, including the pill.",politics
false,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,politics
half-true,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",politics
half-true,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",politics
true,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,politics
true,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",politics
half-true,There are mechanisms in place to shut down the Internet privately.,politics
half-true,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,politics
true,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",politics
half-true,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",politics
true,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.",politics
false,74 percent of Republicans support the Affordable Care Act.,politics
half-true,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",politics
half-true,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",politics
false,Says Alex Sink failed Florida homeowners by using predatory lending practices.,politics
false,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",politics
true,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",politics
half-true,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,politics
half-true,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",politics
half-true,"Every year, more than $40 million are leaving Missouri for the Lone Star State.",politics
half-true,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,politics
true,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",politics
half-true,"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",politics
half-true,They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,politics
half-true,"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.",politics
true,President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.,politics
half-true,"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.",politics
false,"Most young Americans right now, theyre not covered by health insurance.",politics
true,"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.",politics
half-true,"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",politics
true,"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",politics
half-true,"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.",politics
half-true,"Says that while Foster was mayor, Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it.",politics
false,Cell phone numbers go public this month.,politics
false,Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.,politics
false,The Obama administration is unwinding our nations welfare-to-work requirements.,politics
true,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.",politics
half-true,The Redskins Training Camp deal generated $40 million in new private investment in the city.,politics
half-true,The GOP budget plan would cut nearly a million jobs.,politics
half-true,There are more people living in this country who were not born here than at anytime in the history of the country.,politics
half-true,Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.,politics
half-true,"The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the Postal Service is forced to overpay billions more into federal accounts.",politics
false,"If black America were a country, itd be the 15th wealthiest nation in the world.",politics
half-true,"Since Republicans took over after the 2010 election, the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.",politics
true,2008 was the deadliest year of the war (in Afghanistan) for American forces.,politics
half-true,"Since Rick Perry became governor, Texas has gone from 46th in the country to 50th in the population that graduates from high school.",politics
true,Says Amanda Fritz manages less than 5 percent of city operations.,politics
half-true,The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.,politics
half-true,"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse, not better.",politics
false,Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,politics
true,"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",politics
true,On offshore drilling for energy,politics
half-true,"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.",politics
true,I haven't missed a vote since 1993.,politics
false,Jorge Elorza wants to impose a municipal income tax.,politics
half-true,"Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise -- you know, give them a chance at a good job.",politics
half-true,"As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.",politics
half-true,I havent raised taxes in the time Ive been the governor of New Jersey.,politics
false,Massachusetts public schools teach kids as young as kindergartners about gay marriage.,politics
true,Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,politics
half-true,Six people in Florida die as a result of (not expanding Medicaid) every day.,politics
true,"Hillary Clinton ""starts off with 47 percent of the country against her.""",politics
false,SaysRand Paulhas put out budgets to cut the military in half.,politics
half-true,Groups that receive foreign money are spending huge sums to influence American elections.,politics
true,Says legislative cuts mean Texas is spending on average $500 less per student.,politics
half-true,"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",politics
half-true,We know that Saudi Arabia started al-Qaida.,politics
false,"The fundraising numbers are in, and our grassroots support is unmatched!",politics
half-true,Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.,politics
half-true,"Says he passed eight measures, including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas.",politics
false,Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.,politics
false,These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.,politics
true,"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.",politics
half-true,"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.",politics
half-true,"Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.",politics
true,"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.",politics
true,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,politics
false,"ISIS camp a few miles from Texas, Mexican authorities confirm.",politics
false,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,politics
false,Social Security is indeed a Ponzi scheme.,politics
false,The omnibus bill has only $3.8 billion in earmarks.,politics
true,Trump proposed enacting the largest tax increase in American history.,politics
true,"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",politics
half-true,"Kim Myers voted repeatedly to raise taxes on the people of Broome County, but made millions off of tax savings when her family business relocated its headquarters.",politics
half-true,"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.",politics
true,We pay among the highest tolls in the nation for the privilege of crossing that bridge.,politics
half-true,"Sens. Isaksons, Chambliss Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.",politics
half-true,Says today unemployment has been running near 12 percent or more for the last four years and the Legislature hasnt done much to lower it.,politics
false,Says Kay Bailey Hutchison voted for sanctuary cities.,politics
half-true,John Mica voted to borrow $10 trillion.,politics
true,"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.""",politics
half-true,"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, the Democrats didnt make that a partisan issue.",politics
false,John wasn't this raging populist four years ago when he ran for president.,politics
true,House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,politics
false,Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.,politics
false,"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.",politics
half-true,The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon.,politics
false,"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.",politics
half-true,Salaries for URI faculty are second to last among New England land grant universities and in lowest 20 percent of major U.S. research institutions,politics
false,"When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.",politics
false,Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,politics
false,You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.,politics
half-true,"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected.",politics
false,The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.,politics
false,"Under a bill before the legislature, youd have to go to court to fire an employee.",politics
true,There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,politics
true,"Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.",politics
false,"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",politics
half-true,George Allen and his colleagues in the Senate turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.,politics
half-true,Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.,politics
half-true,"I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.",politics
true,"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.",politics
half-true,Unemployment has fallen from 10 percent during the presidents first year in office to 8.5 percent today.,politics
half-true,"American voters remain steadfast in their support for immigration reform with a path to citizenship, with more than 70 percent who want to see reform passed this year.",politics
false,There were more people on welfare than working in 2013.,politics
true,Says State Rep. Kristi Thibaut was an ACORN lobbyist.,politics
half-true,Atlanta is the No. 1 trading point for sexual slavery in America. Between 100 and 200 girls are sold into slavery in Atlanta every month.,politics
half-true,"According to a national survey, transit ridership among people age 16 to 34 increased 40 percent between 2001 and 2009.",politics
true,"In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.",politics
false,Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.,politics
half-true,Im the only (Republican)candidate that has actually reduced the size of government.,politics
false,"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share",politics
true,Texas leads the nation in the percentage of residents without health insurance.,politics
false,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.,politics
half-true,Says Cory Booker supports late-term and partial-birth abortion and opposes safety regulations.,politics
false,Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.,politics
half-true,"In the month of July alone, EU exports to South Korea increased by over 36 percent. A lot of that is our market share. Those are our farmers and our service providers who are suffering.",politics
half-true,"As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship.",politics
half-true,The DNC says McCain flip-flopped on whether the Iraq War would be easy.,politics
half-true,"Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and we still lost more than 2.5 million jobs.",politics
half-true,"In every ethics case that has resulted in a formal sanction, theres been an investigative subcommittee thats been established first.",politics
true,Says New Hampshire has the third-highest property tax in the country.,politics
true,"Obama's tax plan cuts taxes ""for 95 percent of all working families.""",politics
false,59 percent of Americans today believe that Barack Obama is still a Muslim.,politics
false,Carol Shea-Porter wants to increase taxes on small business and job creators.,politics
true,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.,politics
false,On whether the United States should intervene in Libya.,politics
half-true,99.97 percent of the kids live in poverty that attend Cleveland public schools.,politics
half-true,"John Kitzhaber created 128,000 new jobs while governor.",politics
true,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.",politics
true,"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.",politics
false,"Scott Maddox has run ""losing campaigns for 3 of Florida's 4 available cabinet positions.""",politics
true,Americans spend 6.1 billion hours a year on tax preparation.,politics
false,"We are now, for the first time ever, energy independent.",politics
true,"Last year, Exxon pocketed nearly $4.7 million every hour.",politics
half-true,"AARP is ""the largest reseller of insurance in the country"" and ""has a vested interest in seeing that the market for reselling supplemental insurance expands.""",politics
true,Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.,politics
half-true,Youre in more trouble if you leave your pet in the car than if you leave your child in the car.,politics
false,SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders.,politics
true,On letting Occupy Atlanta protesters stay in Woodruff Park.,politics
half-true,What I have put forward does not add a penny to the debt.,politics
true,"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.",politics
false,Limiting labor negotiations to only wages is how it is for the most part in the private sector.,politics
half-true,The states have always defined marriage.,politics
